id,gravidade,risco
218,47.295856,2
219,26.831382,2
220,65.648902,3
221,52.077529,3
222,40.0,2
223,24.87923,1
224,54.490453,3
225,56.224254,3
226,36.157034,2
227,49.307904,2
228,27.122607,2
229,68.023536,3
230,41.592026,2
231,37.340252,2
232,32.221277,2
233,36.215055,2
234,13.779038,1
235,26.886183,2
236,23.876326,1
237,44.245857,2
238,53.857717,3
239,51.469253,3
240,50.604093,3
241,27.122607,2
242,26.621792,2
243,30.813425,2
244,50.008174999999994,2
245,40.0,2
246,35.057078,2
247,51.431841,3
248,67.989083,3
249,72.833108,3
250,36.083296,2
251,13.222719000000001,1
252,48.425147,2
253,25.170488,2
254,66.62824,3
255,68.32139325,3
256,57.865142,3
257,34.845109,2
258,40.808751,2
259,44.120862,2
260,34.67012,2
261,38.9089385,2
262,47.068722,2
263,35.344293,2
264,66.543559,3
265,69.160384,3
266,50.673164,3
267,55.188865,3
268,34.215076,2
269,68.18791099999999,3
270,65.702769,3
271,33.24704,2
272,43.214867,2
273,41.597008,2
274,36.157034,2
275,21.291867,1
276,13.222719000000005,1
277,34.67012,2
278,59.632337,3
279,62.97937,3
280,27.020389,2
281,26.688528,2
282,34.215076,2
283,25.038293,2
284,30.274143,2
285,13.416866,1
286,65.369446,3
287,51.917905,3
288,21.389381,1
289,37.103482,2
290,36.019602,2
291,13.519376,1
292,42.361075,2
293,39.572954,2
294,48.217035,2
295,41.592026,2
296,27.007121,2
297,40.0,2
298,52.252114,3
299,25.170488,2
300,30.274143,2
301,36.787856,2
302,30.512045,2
303,27.122607,2
304,54.137239,3
305,64.52824,3
306,52.736323,3
307,67.116141,3
306,72.717441,3
309,40.0,2
310,40.0,2
311,24.510847,1
312,48.388744,2
313,31.010935,2
314,40.242851,2
315,28.117106,2
316,63.610405,3
317,72.717441,3
318,31.010935,2
319,72.717441,3
320,49.316523,2
321,13.631711,1
322,50.902256,3
323,13.298345,1
324,34.67012,2
325,48.051479,2
326,28.660664,2
327,47.170756,2
328,73.385136,3
329,46.138166,2
330,30.165631,2
